AAA	NTGA	Anaa Airport	Anaa	-17.3526	-145.509995
AAC	HEAR	El Arish International Airport	El Arish	31.055324	33.827964
AAE	DABB	Annaba Rabah Bitat Airport	Annaba	36.826781	7.81334
AAK	NGUK	Aranuka Airport	Buariki	0.185278	173.636993
AAL	EKYT	Aalborg Airport	Aalborg	57.094763	9.84993
AAN	OMAL	Al Ain International Airport	Al Ain	24.2617	55.6092
AAP	WALS	Aji Pangeran Tumenggung Pranoto International Airport	Samarinda	-0.374478	117.250128
AAQ	URKA	Anapa Vityazevo Airport	Krasnyi Kurgan	45.002102	37.347301
AAR	EKAH	Aarhus Airport	Aarhus	56.303331	10.618286
AAT	ZWAT	Altay Xuedu Airport	Altay	47.749886	88.085808
AAX	SBAX	Romeu Zema Airport	Araxá	-19.5632	-46.9604
AAY	OYGD	Al Ghaydah International Airport	Al Ghaydah	16.193341	52.174186
AAZ	MGQZ	Quezaltenango Airport	Quezaltenango	14.8656	-91.501999
ABA	UNAA	Abakan International Airport	Abakan	53.740002	91.385002
ABB	DNAS	Asaba International Airport	Asaba	6.204167	6.665278
ABD	OIAA	Abadan Ayatollah Jami International Airport	Abadan	30.367887	48.230075
ABE	KABE	Lehigh Valley International Airport	Allentown/Bethlehem	40.651773	-75.442797
ABI	KABI	Abilene Regional Airport	Abilene	32.4113006592	-99.68190002440001
ABJ	DIAP	Félix-Houphouët-Boigny International Airport	Abidjan	5.26139	-3.92629
ABK	HAKD	Kebri Dahar Airport	Kebri Dahar	6.732577	44.241339
ABL	PAFM	Ambler Airport	Ambler	67.105529	-157.855339
ABM	YNPE	Northern Peninsula Airport	Bamaga	-10.946194	142.455081
ABQ	KABQ	Albuquerque International Sunport	Albuquerque	35.039976	-106.608925
ABR	KABR	Aberdeen Regional Airport	Aberdeen	45.449100494384766	-98.42179870605469
ABS	HEBL	Abu Simbel Airport	Abu Simbel	22.375924	31.611734
ABT	OEBA	King Saud Bin Abdulaziz (Al Baha) Airport	Al-Baha	20.298506	41.636153
ABU	WATA	AA Bere Tallo (Haliwen) Airport	Atambua	-9.074841	124.903285
ABV	DNAA	Nnamdi Azikiwe International Airport	Abuja	9.00679	7.26317
ABX	YMAY	Albury Airport	East Albury	-36.066758	146.959148
ABY	KABY	Southwest Georgia Regional Airport	Albany	31.532946	-84.196215
ABZ	EGPD	Aberdeen International Airport	Aberdeen	57.2019	-2.19778
ACA	MMAA	General Juan N. Álvarez International Airport	Acapulco	16.757126	-99.753113
ACC	DGAA	Kotoka International Airport	Accra	5.605189800262451	-0.16678600013256073
ACE	GCRR	César Manrique-Lanzarote Airport	San Bartolomé	28.945499	-13.6052
